S No.,Reco Full,Reco Datetime,Reco Provider,Reco For,Symbol,Target Price,Action,Buy Date,Buy Price,Sell Date,Sell Price,Status
5670,Hold Jyothy Laboratories; target of Rs 195: Sharekhan ,2019-05-08 12:10:00,Sharekhan,Jyothy Laboratories,JYOTHYLAB,195.0,Hold,2019-05-08,172.0,2019-05-13,154.8,Complete
5671,Buy Petronet LNG; target of Rs 315: Motilal Oswal ,2019-05-08 12:09:00,Motilal Oswal,Petronet LNG,PETRONET,315.0,Buy,2019-05-08,237.1,2020-03-11,213.39,Complete
5672,Buy Sanofi India; target of Rs 6930: Motilal Oswal ,2019-05-08 11:52:00,Motilal Oswal,Sanofi India,SANOFI,6930.0,Buy,2019-05-08,5602.0,2019-10-31,6930.0,Complete
5673,Buy Bharti Airtel; target of Rs 350: Sharekhan ,2019-05-08 11:51:00,Sharekhan,Bharti Airtel,BHARTIARTL,350.0,Buy,2019-05-08,324.85,2019-05-24,350.0,Complete
5674,Buy Mahindra CIE; target of Rs 290: Motilal Oswal ,2019-05-08 11:37:00,Motilal Oswal,Mahindra CIE,MAHINDCIE,290.0,Buy,2019-05-08,225.0,2019-07-19,202.5,Complete
5675,Buy Bharti Airtel; target of Rs 410: Motilal Oswal ,2019-05-08 11:36:00,Motilal Oswal,Bharti Airtel,BHARTIARTL,410.0,Buy,2019-05-08,324.85,2019-11-18,410.0,Complete
5676,Buy Marico; target of Rs 435: Arihant Capital ,2019-05-07 17:00:00,Arihant Capital,Marico,MARICO,435.0,Buy,2019-05-08,359.4,2020-01-31,323.46,Complete
5677,Buy ICICI Bank; target of Rs 493: Nalanda Securities ,2019-05-07 16:47:00,Nalanda Securities,ICICI Bank,ICICIBANK,493.0,Buy,2019-05-08,386.3,2019-11-08,493.0,Complete
5678,Buy Zensar Technologies; target of Rs 307: Cholamandalam Securities ,2019-05-07 16:47:00,Cholamandalam Securities,Zensar Technologies,ZENSARTECH,307.0,Buy,2019-05-08,239.1,2019-07-24,215.19,Complete
5679,Buy ICICI Bank; target of Rs 475: Prabhudas Lilladher ,2019-05-07 16:44:00,Prabhudas Lilladher,ICICI Bank,ICICIBANK,475.0,Buy,2019-05-08,386.3,2019-10-29,475.0,Complete
5680,Hold Marico; target of Rs 351: Prabhudas Lilladher ,2019-05-07 16:38:00,Prabhudas Lilladher,Marico,MARICO,351.0,Hold,,,,,Not Attempted
5681,Buy Radico Khaitan; target of Rs 440: Kotak Securities ,2019-05-07 14:26:00,Kotak Securities,Radico Khaitan,RADICO,440.0,Buy,2019-05-07,356.15,2019-06-06,320.535,Complete
