S No.,Reco Full,Reco Datetime,Reco Provider,Reco For,Symbol,Target Price,Action,Buy Date,Buy Price,Sell Date,Sell Price,Status
3432,Reduce Havells India; target of Rs 530: Geojit ,2020-07-30 18:28:00,Geojit,Havells India,HAVELLS,530.0,Reduce,,,2020-07-31,578.5,Open
3433,Buy NIIT Technologies; target of Rs 2190: Prabhudas Lilladher ,2020-07-30 18:26:00,Prabhudas Lilladher,NIIT Technologies,LTTS,2190.0,Buy,2020-07-31,1524.0,2020-12-18,2348.0,Complete
3434,Buy Hexaware Technologies; target of Rs 476: Prabhudas Lilladher ,2020-07-30 17:57:00,Prabhudas Lilladher,Hexaware Technologies,DEVIT,476.0,Buy,,,,,Not Attempted
3435,Hold Ambuja Cements; target of Rs 221: Arihant Capital ,2020-07-30 17:50:00,Arihant Capital,Ambuja Cements,AMBUJACEM,221.0,Hold,,,,,Not Attempted
3436,Hold Persistent Systems; target of Rs 100: Arihant Capital ,2020-07-30 17:49:00,Arihant Capital,Persistent Systems,PERSISTENT,100.0,Hold,,,,,Not Attempted
3437,Accumulate Marico; target of Rs 391: Arihant Capital ,2020-07-30 17:48:00,Arihant Capital,Marico,MARICO,391.0,Accumulate,2020-07-31,364.5,2020-12-03,392.0,Complete
3438,Accumulate ICICI Bank; target of Rs 425: Arihant Capital ,2020-07-30 17:47:00,Arihant Capital,ICICI Bank,ICICIBANK,425.0,Accumulate,2020-07-31,346.45,2020-10-21,428.5,Complete
3439,Hold HDFC Life Insurance Company; target of Rs 685: Anand Rathi ,2020-07-30 17:46:00,Anand Rathi,HDFC Life Insurance Company,HDFCLIFE,685.0,Hold,2020-07-31,628.7,2020-11-25,688.5,Complete
3440,Buy Heidelberg Cement; target of Rs 231: Anand Rathi ,2020-07-30 17:43:00,Anand Rathi,Heidelberg Cement,HEIDELBERG,231.0,Buy,2020-07-31,184.0,2020-12-30,234.75,Complete
3441,Sell Havells India; target of Rs 493: YES Securities ,2020-07-30 17:34:00,YES Securities,Havells India,HAVELLS,493.0,Sell,,,2020-07-31,578.5,Open
3442,Buy Repco Home Finance; target of Rs 275: YES Securities ,2020-07-30 17:32:00,YES Securities,Repco Home Finance,REPCOHOME,275.0,Buy,2020-07-31,150.0,2021-01-12,275.0,Complete
3443,Buy TCI Express; target of Rs 936: YES Securities ,2020-07-30 17:30:00,YES Securities,TCI Express,TCIEXP,936.0,Buy,2020-07-31,715.0,2020-12-03,944.8,Complete
3444,Buy Crompton Consumer; target of Rs 277: YES Securities ,2020-07-30 17:29:00,YES Securities,Crompton Consumer,BAJAJCON,277.0,Buy,2020-07-31,172.55,2021-02-04,284.0,Complete
