MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,BE,EXCEL,EXCEL REALTY N INFRA LTD,        10.40,        10.00,        10.90,         9.90,         9.90,                  8269782.80,797616,N, ,1267,        13.30,         2.15
N,BE,FCSSOFT,FCS SOFTWARE SOLN. LTD.,         7.20,         6.85,         6.85,         6.85,         6.85,                 12723621.55,1857463,N, ,8573,         8.30,          .60
N,BE,GAL,GYSCOAL ALLOYS LTD,         6.00,         5.70,         5.70,         5.70,         5.70,                   775371.00,136030,N, ,590,         8.25,         2.05
N,BE,GANGOTRI,GANGOTRI TEXTILES LTD.,         1.65,         1.65,         1.70,         1.60,         1.70,                    55395.80,33742,N, ,52,         1.75,          .50
N,BE,GAYAHWS,GAYATRI HIGHWAYS LIMITED,         1.10,         1.05,         1.05,         1.05,         1.05,                    16443.00,15660,N, ,27,         1.25,          .50
N,BE,GFSTEELS,GRAND FOUNDRY LTD,         4.35,         4.15,         4.15,         4.15,         4.15,                    17475.65,4211,N, ,5,         5.65,         1.80
N,BE,GISOLUTION,GI ENGINEERING SOLNS LTD,         3.75,         3.75,         3.75,         3.75,         3.75,                      750.00,200,N, ,3,         3.95,         1.90
N,BE,GLFL,GUJARAT LEASE FINANCING L,         3.75,         3.60,         3.60,         3.60,         3.60,                      900.00,250,N, ,3,         4.50,          .40
N,BE,GLOBALVECT,GLOBAL VEC HELICORP LTD,        57.65,        59.10,        59.10,        54.80,        54.85,                   886287.10,15938,N, ,249,       117.45,        45.20
N,BE,GOKULAGRO,GOKUL AGRO RESOURCES LTD,        76.85,        76.40,        76.70,        73.05,        73.05,                  4090299.95,55541,N, ,680,        83.00,        10.25
N,BE,GOLDTECH,GOLDSTONE TECHNOLOGIES LT,        79.30,        76.70,        80.75,        75.35,        75.35,                  5440241.70,71913,N, ,654,       119.75,        30.50
N,BE,GOODLUCK,GOODLUCK INDIA LIMITED,       351.95,       354.00,       354.00,       334.40,       336.85,                 23003349.80,68301,N, ,430,       387.40,        57.35
N,BE,GREENPOWER,ORIENT GREEN POWER CO LTD,        21.75,        20.70,        21.20,        20.70,        20.70,                 66692616.45,3216579,N, ,11894,        28.45,         1.80
N,BE,GSS,GSS INFOTECH LIMITED,       124.45,       124.40,       124.40,       118.25,       118.25,                  2279307.65,19137,N, ,221,       152.75,        95.20
N,BE,GTLINFRA,GTL INFRA.LTD,         2.20,         2.15,         2.20,         2.10,         2.10,                135407787.25,63935369,N, ,44513,         2.50,         1.55
N,BE,GUJRAFFIA,GUJARAT RAFFIA INDUST LTD,        44.75,        45.90,        45.90,        43.00,        43.60,                   269701.15,6110,N, ,105,        84.95,        25.00
N,BE,HAPPSTMNDS,HAPPIEST MINDS TECHNO LTD,      1244.20,      1231.00,      1240.00,      1182.00,      1185.90,                265993804.85,222173,N, ,29415,      1475.00,      1177.70
N,BE,HAVISHA,SRI HAVISHA HOSP & INFR L,         4.20,         4.00,         4.00,         4.00,         4.00,                   213664.00,53416,N, ,265,         4.60,          .65
N,BE,HIRECT,HIND RECTIFIER LIMITED,       236.25,       239.70,       239.70,       224.45,       225.80,                  2033400.65,8904,N, ,252,       288.00,        95.90
N,BE,HLVLTD,HLV LIMITED,        10.65,        10.90,        11.05,        10.25,        10.35,                  2852857.90,267985,N, ,691,        12.30,         9.35
N,BE,HOTELRUGBY,HOTEL RUGBY LTD,         5.00,         5.00,         5.00,         5.00,         5.00,                    94000.00,18800,N, ,12,         5.50,         2.35
N,BE,HUBTOWN,HUBTOWN LIMITED,        62.10,        62.30,        62.30,        59.00,        59.00,                  2753595.40,46282,N, ,255,        73.30,        14.45
N,BE,ICDSLTD,ICDSLTD,        60.40,        60.90,        60.90,        57.40,        57.40,                   200634.05,3490,N, ,48,        65.35,        43.10
N,BE,IMPEXFERRO,IMPEX FERRO TECH LIMITED,         1.30,         1.30,         1.30,         1.30,         1.30,                      418.60,322,N, ,3,         1.30,          .45
N,BE,INCREDIBLE,INCREDIBLE INDUSTRIES LTD,        28.05,        28.80,        28.80,        27.00,        27.20,                   432171.20,15415,N, ,103,        33.00,        25.15
N,BE,INDIANCARD,INDIAN CARD,       293.20,       307.85,       307.85,       297.00,       307.85,                  8557322.60,27858,N, ,222,       307.85,       159.25
N,BE,INDLMETER,IMP POWERS LTD,        19.05,        18.70,        19.00,        18.10,        18.10,                   443103.15,24252,N, ,134,        22.40,        11.85
N,BE,INDOTHAI,INDO THAI SEC LTD,       379.65,       375.00,       385.00,       360.70,       360.70,                  7479874.10,20477,N, ,323,       496.20,        42.15
N,BE,INDOWIND,INDOWIND ENERGY LTD,        27.80,        28.45,        28.75,        26.45,        26.45,                 12490391.85,454602,N, ,2068,        44.25,         3.40
N,BE,INDSWFTLTD,IND-SWIFT LIMITED,        16.25,        15.50,        15.85,        15.45,        15.50,                   633185.00,40917,N, ,148,        17.85,         3.55
N,BE,INFOMEDIA,INFOMEDIA PRESS LIMITED,         5.35,         5.10,         5.10,         5.10,         5.10,                    59710.80,11708,N, ,22,         6.35,         2.90
N,BE,INSPIRISYS,INSPIRISYS SOLUTIONS LTD,        94.65,        89.95,        89.95,        89.95,        89.95,                     2878.40,32,N, ,3,        99.65,        44.00
N,BE,INTEGRA,INTEGRA GARMENT & TEX LTD,         5.10,         5.10,         5.10,         5.10,         5.10,                     4207.50,825,N, ,4,         5.10,         1.20
N,BE,ISMTLTD,ISMT LIMITED,        48.05,        45.65,        47.80,        45.65,        45.65,                 19143328.20,413201,N, ,904,        69.00,        16.10
N,BE,IVC,IL&FS INVESTMENT MANAGERS,         9.65,         9.80,         9.80,         9.20,         9.20,                  3234742.10,347747,N, ,680,        11.10,         3.65
N,BE,IWEL,INOX WIND ENERGY LIMITED,       749.30,       764.30,       764.30,       715.00,       737.80,                  1072321.55,1462,N, ,64,       954.90,       189.60
N,BE,JAYNECOIND,JAYASWAL NECO INDUSTR LTD,        31.00,        31.90,        31.90,        29.45,        30.30,                  5426503.90,179208,N, ,515,        32.30,         5.25
N,BE,JBFIND,JBF INDUS LTD -DEP-LS ML,        19.75,        19.50,        19.90,        18.80,        19.05,                  4800394.75,252005,N, ,675,        50.30,        11.35
N,BE,JIKIND,JIK INDUSTRIES LTD,          .95,         1.00,         1.00,          .95,         1.00,                   941627.90,942674,N, ,446,         1.00,          .25
N,BE,JINDCOT,JINDAL COTEX LTD,         4.10,         4.30,         4.30,         4.10,         4.30,                   719571.65,167889,N, ,325,         4.30,         1.40
N,BE,JITFINFRA,JITF INFRALOGISTICS LTD,       117.00,       121.00,       121.40,       111.15,       111.15,                  2696699.80,23381,N, ,262,       337.25,         7.25
